cell_type	target	binding	perb_score
Late_Female_Sst	ADORA1	antagonist	2.90760712281642e-10
Late_Female_Vip	ADORA1	antagonist	2.70022584196793e-11
Late_Female_L6_CT	ADORA1	antagonist	5.32537770227052e-10
Late_Female_Lamp5_Lhx6	ADORA1	antagonist	8.0645694698854e-11
Late_Female_L5_IT	ADORA1	antagonist	3.71931877722829e-10
Late_Female_Lamp5	ADORA1	antagonist	2.90506501845311e-10
Late_Male_Astrocyte	ADORA1	antagonist	3.98881376390514e-10
Late_Female_L6b	ADORA1	antagonist	4.33095996412183e-10
Late_Female_OPC	ADORA1	antagonist	3.17934706533831e-10
Late_Female_Sncg	ADORA1	antagonist	1.09654454246235e-10
Late_Male_Chandelier	ADORA1	antagonist	2.0897173542015e-10
Late_Female_Pax6	ADORA1	antagonist	1.34815138470468e-10
Late_Female_VLMC___Perivascular	ADORA1	antagonist	1.04153434638254e-10
Late_Male_L5_IT	ADORA1	antagonist	1.52335029319447e-10
Late_Male_L6_IT_Car3	ADORA1	antagonist	4.3466309767395e-10
Late_Male_Lamp5_Lhx6	ADORA1	antagonist	4.52853236586206e-10
Late_Female_Pvalb	ADORA1	antagonist	2.95029611273769e-10
Late_Male_L5_ET	ADORA1	antagonist	1.12671834174904e-09
Late_Male_Endothelial	ADORA1	antagonist	3.52598636447427e-10
Late_Male_L2_3_IT	ADORA1	antagonist	7.3638153078437e-10
Late_Male_L6_IT	ADORA1	antagonist	3.77635764407014e-10
Late_Female_Oligodendrocyte	ADORA1	antagonist	1.00947113474858e-09
Late_Male_L4_IT	ADORA1	antagonist	1.24714328534193e-09
Late_Male_Immune	ADORA1	antagonist	2.89002850413948e-10
Late_Male_L6_CT	ADORA1	antagonist	4.43137657846067e-11
Late_Male_Oligodendrocyte	ADORA1	antagonist	1.10972888255031e-09
Late_Male_Pvalb	ADORA1	antagonist	1.97542032629921e-10
Late_Male_Lamp5	ADORA1	antagonist	1.62959115310133e-10
Late_Male_Sst	ADORA1	antagonist	3.03648006756768e-10
Late_Male_Vip	ADORA1	antagonist	1.5080994832539e-10
Late_Male_L6b	ADORA1	antagonist	4.90808055962484e-10
Late_Male_L5_6_NP	ADORA1	antagonist	2.12396354221445e-10
Late_Male_Pax6	ADORA1	antagonist	1.98601774348184e-10
Late_Male_OPC	ADORA1	antagonist	7.23674571888285e-10
Late_Male_VLMC___Perivascular	ADORA1	antagonist	1.07512508022228e-10
Late_Male_Sncg	ADORA1	antagonist	3.51132134719758e-10
Early_Female_Pax6	ADORA2A	antagonist	3.76436550972891e-10
Early_Female_L5_6_NP	ADORA2A	antagonist	4.88600553371588e-10
Early_Female_Chandelier	ADORA2A	antagonist	3.01643838923831e-10
Early_Female_L6_IT	ADORA2A	antagonist	3.10450309788431e-10
Early_Female_Oligodendrocyte	ADORA2A	antagonist	1.89226367507394e-10
Early_Female_Sst	ADORA2A	antagonist	2.47376933462614e-10
Early_Male_Astrocyte	ADORA2A	antagonist	2.21433739621735e-11
Early_Female_OPC	ADORA2A	antagonist	2.64435839547299e-10
Early_Female_Sncg	ADORA2A	antagonist	2.32861409680553e-10
Early_Female_Lamp5	ADORA2A	antagonist	1.83658374732854e-11
