cell_type	target	binding	perb_score
L6_IT_Early_APOE4_Neg	APH1B	antagonist	2.27550081331754e-10
L6_CT_Late_APOE4_Neg	APH1B	antagonist	2.04990925550524e-10
OPC_Late_APOE4_Neg	APH1B	antagonist	1.3671480382066e-10
Oligodendrocyte_Late_APOE4_Neg	APH1B	antagonist	4.37936566899286e-10
OPC_Early_APOE4_Neg	APH1B	antagonist	7.31751974818051e-10
Oligodendrocyte_Early_APOE4_Neg	APH1B	antagonist	2.94952424316908e-10
L6_IT_Car3_Late_APOE4_Pos	APH1B	antagonist	4.83328855941402e-10
VLMC___Perivascular_Late_APOE4_Neg	APH1B	antagonist	5.36433787181904e-10
Oligodendrocyte_Late_APOE4_Pos	APH1B	antagonist	4.78127947881469e-10
Pvalb_Early_APOE4_Neg	APH1B	antagonist	2.96743133723531e-10
Pax6_Late_APOE4_Pos	APH1B	antagonist	8.68230726781174e-10
Sst_Late_APOE4_Pos	APH1B	antagonist	1.05701867145971e-09
Pax6_Late_APOE4_Neg	APH1B	antagonist	2.16435779114811e-10
Pvalb_Late_APOE4_Neg	APH1B	antagonist	6.2496484027513e-11
Sst_Early_APOE4_Neg	APH1B	antagonist	4.77825264705079e-10
Sncg_Late_APOE4_Neg	APH1B	antagonist	7.57496197293863e-10
Sncg_Early_APOE4_Neg	APH1B	antagonist	3.54310845742734e-10
Pvalb_Late_APOE4_Pos	APH1B	antagonist	8.49653329648716e-11
Vip_Late_APOE4_Neg	APH1B	antagonist	2.64022353087032e-10
Vip_Late_APOE4_Pos	APH1B	antagonist	3.06659079683638e-10
Sncg_Late_APOE4_Pos	APH1B	antagonist	7.28645070316314e-10
Vip_Early_APOE4_Neg	APH1B	antagonist	5.03061965369079e-10
VLMC___Perivascular_Late_APOE4_Pos	APH1B	antagonist	9.5371706972466e-11
Sst_Late_APOE4_Neg	APH1B	antagonist	6.50049248930687e-10
L5_ET_Late_APOE4_Neg	ACE	antagonist	2.46670253033099e-10
Endothelial_Late_APOE4_Neg	ACE	antagonist	3.97999031530338e-10
Chandelier_Early_APOE4_Neg	ACE	antagonist	3.61177192393855e-10
L4_IT_Early_APOE4_Neg	ACE	antagonist	1.30969845273489e-10
L5_IT_Early_APOE4_Neg	ACE	antagonist	1.07584536023539e-10
L5_6_NP_Late_APOE4_Neg	ACE	antagonist	1.27075367979187e-10
L2_3_IT_Early_APOE4_Neg	ACE	antagonist	1.73519650118078e-10
