cell_type	target	perb_score
456_OPC	PTK2B	6.23298254158942e-10
123_Inh	PTK2B	4.52893521548042e-10
456_Astro	PTK2B	4.92779503294129e-10
123_Exc	PTK2B	2.91204568476368e-09
456_Inh	PTK2B	9.6619478460905e-10
456_Exc	PTK2B	6.42692578478700e-09
123_Endo	PTK2B	2.91814685224393e-10
456_Micro	CLU	6.96342406494214e-10
123_Micro	CLU	1.00921060514355e-10
123_OPC	CLU	9.02620571722519e-10
123_Oligo	CLU	1.57498999224652e-09
456_Oligo	CLU	1.73669235219895e-09
123_Astro	CLU	7.12253283368635e-09
456_Endo	CLU	1.18356075677174e-09
456_OPC	CLU	2.94400098784528e-10
123_Inh	CLU	1.56734609463774e-09
456_Astro	CLU	4.88512072628072e-10
123_Exc	CLU	1.45109211844907e-09
456_Inh	CLU	1.00124079301677e-09
456_Exc	CLU	8.49295464590019e-10
123_Endo	CLU	1.615174607213e-10
456_Micro	SHARPIN	2.88629982055289e-10
123_Micro	SHARPIN	3.55617062770212e-10
123_OPC	SHARPIN	8.47731702552677e-10
123_Oligo	SHARPIN	8.57689590724948e-10
456_Oligo	SHARPIN	2.31572120523931e-10
123_Astro	SHARPIN	1.15256176453536e-10
456_Endo	SHARPIN	1.83071558856503e-10
456_OPC	SHARPIN	1.04895454996515e-10
123_Inh	SHARPIN	8.73566874724218e-11
456_Astro	SHARPIN	2.28758335445947e-10
123_Exc	SHARPIN	2.06378741770925e-11
456_Inh	SHARPIN	4.46892937755963e-11
456_Exc	SHARPIN	9.48035017391409e-12
123_Endo	SHARPIN	5.83943215009956e-11
456_Micro	ABCA1	1.07312801711521e-11
123_Micro	ABCA1	3.44669247346954e-10
123_OPC	ABCA1	1.27163508550659e-09
123_Oligo	ABCA1	1.22629219736709e-10
456_Oligo	ABCA1	9.95308149512835e-10
123_Astro	ABCA1	1.0885401640155e-09
456_Endo	ABCA1	1.29518015228329e-10
456_OPC	ABCA1	7.99486814406043e-10
123_Inh	ABCA1	1.00864215290832e-09
456_Astro	ABCA1	1.06958245155554e-09
123_Exc	ABCA1	1.03928642189408e-10
456_Inh	ABCA1	5.66108024892833e-10
456_Exc	ABCA1	1.15815456339769e-10
123_Endo	ABCA1	2.76672541765272e-10
456_Micro	USP6NL	4.27088708915753e-09
123_Micro	USP6NL	3.82629516991179e-09
123_OPC	USP6NL	6.37148097760672e-10
123_Oligo	USP6NL	1.96889226642552e-09
456_Oligo	USP6NL	1.74449342235754e-09
123_Astro	USP6NL	5.71921191482587e-10
456_Endo	USP6NL	9.25072107394264e-11
456_OPC	USP6NL	1.0064944992132e-09
123_Inh	USP6NL	1.51103006828872e-11
456_Astro	USP6NL	8.99096910558187e-11
123_Exc	USP6NL	1.30350991974525e-10
456_Inh	USP6NL	1.51939431194494e-10
456_Exc	USP6NL	5.5447740035869e-10
123_Endo	USP6NL	3.69459131860959e-11
456_Micro	ANK3	1.35566003548288e-09
123_Micro	ANK3	2.10480605179486e-09
123_OPC	ANK3	6.39204660073287e-09
123_Oligo	ANK3	1.61231148300252e-08
456_Oligo	ANK3	7.24911648304977e-09
123_Astro	ANK3	1.05687623328646e-09
456_Endo	ANK3	8.10904766610567e-08
456_OPC	ANK3	1.87974592529691e-09
123_Inh	ANK3	7.13330274684175e-09
456_Astro	ANK3	6.50845598958724e-10
123_Exc	ANK3	1.68790411483251e-08
456_Inh	ANK3	1.17979767814419e-09
456_Exc	ANK3	5.9329302387567e-09
123_Endo	ANK3	5.94140264735849e-08
456_Micro	TSPAN14	5.88298108110815e-09
123_Micro	TSPAN14	2.16873164098097e-09
123_OPC	TSPAN14	5.59579453317673e-10
123_Oligo	TSPAN14	7.95778957865409e-10
456_Oligo	TSPAN14	3.05694961424665e-10
123_Astro	TSPAN14	1.98839227845402e-10
456_Endo	TSPAN14	1.44360329157521e-10
456_OPC	TSPAN14	1.28256604573887e-10
123_Inh	TSPAN14	2.66157041549134e-10
456_Astro	TSPAN14	9.58444924057815e-10
123_Exc	TSPAN14	1.16219536836245e-10
456_Inh	TSPAN14	4.5273912281078e-10
456_Exc	TSPAN14	4.43949488632067e-11
123_Endo	TSPAN14	2.01892264707402e-10
456_Micro	BLNK	7.88457312609364e-10
123_Micro	BLNK	4.40345536082108e-09
123_OPC	BLNK	1.81113624347119e-10
123_Oligo	BLNK	2.57758239289564e-10
456_Oligo	BLNK	7.7119594538697e-10
123_Astro	BLNK	5.89372892600209e-11
456_Endo	BLNK	8.44530390332272e-12
456_OPC	BLNK	1.2266347333467e-18
123_Inh	BLNK	1.60892886513097e-10
456_Astro	BLNK	1.08850456501962e-10
123_Exc	BLNK	3.37358984984204e-11
456_Inh	BLNK	4.21925851219375e-11
456_Exc	BLNK	7.99828912473669e-12
123_Endo	BLNK	2.58119770181249e-10
456_Micro	PLEKHA1	5.39389116036167e-10
123_Micro	PLEKHA1	6.12200965136178e-10
123_OPC	PLEKHA1	1.94857495557119e-09
123_Oligo	PLEKHA1	1.3341623961662e-09
456_Oligo	PLEKHA1	1.92254060124049e-09
123_Astro	PLEKHA1	4.09597536973222e-10
456_Endo	PLEKHA1	8.44433660134721e-10
456_OPC	PLEKHA1	7.01851564265141e-10
123_Inh	PLEKHA1	1.08889556657648e-09
456_Astro	PLEKHA1	6.18911124260972e-10
123_Exc	PLEKHA1	1.46844257924824e-08
456_Inh	PLEKHA1	4.41248227950582e-09
456_Exc	PLEKHA1	8.94578587910528e-09
123_Endo	PLEKHA1	1.08145694469885e-09
456_Micro	SPI1	1.69711658959669e-11
123_Micro	SPI1	4.35172679973746e-09
123_OPC	SPI1	4.65055888202162e-10
123_Oligo	SPI1	5.29835563566263e-10
456_Oligo	SPI1	3.81639164714898e-17
123_Astro	SPI1	2.48809212269462e-10
456_Endo	SPI1	1.64854988852627e-10
456_OPC	SPI1	5.66484171725619e-10
123_Inh	SPI1	1.40045328484458e-12
456_Astro	SPI1	2.43876608336596e-11
123_Exc	SPI1	7.58550945753023e-11
456_Inh	SPI1	2.26092689152831e-10
456_Exc	SPI1	2.88931785600311e-11
123_Endo	SPI1	2.94712169126707e-11
456_Micro	MS4A4A	2.7340351026852e-09
123_Micro	MS4A4A	9.96819761743562e-10
123_OPC	MS4A4A	1.76097931192199e-16
123_Oligo	MS4A4A	1.02510269041998e-16
456_Oligo	MS4A4A	3.21426201392754e-11
123_Astro	MS4A4A	1.38443608058989e-10
456_Endo	MS4A4A	1.5463139514102e-11
456_OPC	MS4A4A	6.30495025819933e-17
123_Inh	MS4A4A	3.41700896806661e-17
456_Astro	MS4A4A	6.6010730182116e-17
123_Exc	MS4A4A	6.11522090508841e-11
456_Inh	MS4A4A	3.55608626327729e-11
456_Exc	MS4A4A	2.29314949234366e-10
123_Endo	MS4A4A	8.27355875753645e-11
456_Micro	EED	6.05852838591709e-10
123_Micro	EED	6.39376630405507e-10
123_OPC	EED	1.90972754088251e-10
123_Oligo	EED	1.26646719661633e-09
456_Oligo	EED	5.53720302233432e-10
123_Astro	EED	5.70485827211008e-10
456_Endo	EED	2.33820580860221e-10
456_OPC	EED	9.2512963583374e-13
123_Inh	EED	2.74977336165805e-10
456_Astro	EED	4.75977512874384e-10
123_Exc	EED	7.22645440199228e-11
456_Inh	EED	1.53674110160802e-10
456_Exc	EED	4.94216526544189e-11
123_Endo	EED	8.78944926431898e-11
456_Micro	SORL1	3.43735429473863e-09
123_Micro	SORL1	9.65575416132724e-09
123_OPC	SORL1	2.66593027659413e-10
123_Oligo	SORL1	4.16681767826307e-09
456_Oligo	SORL1	2.49479591509449e-09
123_Astro	SORL1	2.31087379786089e-09
456_Endo	SORL1	3.83783671307251e-10
456_OPC	SORL1	5.91252720538132e-10
