cell_type	target	binding	perb_score
Early_Braak_Oligodendrocyte	BDNF	antagonist	2.05187494354068e-10
Late_Braak_Endothelial	BDNF	antagonist	1.04142200671251e-10
Early_Braak_VLMC	BDNF	antagonist	8.69797772007508e-18
Early_Braak_Vip	BDNF	antagonist	2.92169982769226e-11
Early_Braak_Sncg	BDNF	antagonist	5.66189298657914e-11
Late_Braak_Astrocyte	BDNF	antagonist	5.81319451968143e-11
Late_Braak_Chandelier	BDNF	antagonist	9.27364190615473e-11
Early_Braak_Lamp5	BDNF	antagonist	1.63597993044608e-10
Early_Braak_Pvalb	BDNF	antagonist	1.93650009586815e-10
Late_Braak_L6_IT_Car3	BDNF	antagonist	4.80868582305634e-10
Late_Braak_L2_3_IT	BDNF	antagonist	7.61669357136606e-12
Late_Braak_Lamp5_Lhx6	BDNF	antagonist	1.29322440508263e-10
Late_Braak_L5_IT	BDNF	antagonist	1.91896966438168e-10
Late_Braak_L5_6_NP	BDNF	antagonist	2.48716471996303e-11
Late_Braak_Pax6	BDNF	antagonist	5.46865428504695e-11
Late_Braak_Lamp5	BDNF	antagonist	9.37789083181595e-11
Late_Braak_Sncg	BDNF	antagonist	9.51381671216201e-12
Late_Braak_L6_IT	BDNF	antagonist	2.4579824568039e-10
Late_Braak_L6_CT	BDNF	antagonist	7.53530845689769e-11
Late_Braak_L4_IT	BDNF	antagonist	3.44928517455477e-10
Late_Braak_Sst	BDNF	antagonist	7.7009898075822e-14
Late_Braak_OPC	BDNF	antagonist	4.56524995962899e-11
Late_Braak_L5_ET	BDNF	antagonist	5.96375623994791e-11
Late_Braak_Sst_Chodl	BDNF	antagonist	5.75569294904053e-11
Late_Braak_Oligodendrocyte	BDNF	antagonist	9.12970479678182e-11
Late_Braak_Pvalb	BDNF	antagonist	7.75926025471012e-11
Late_Braak_L6b	BDNF	antagonist	4.50296815685332e-11
Late_Braak_Vip	BDNF	antagonist	1.29488216204011e-10
Late_Braak_Microglia-PVM	BDNF	antagonist	9.66926051080488e-11
Late_Braak_VLMC	BDNF	antagonist	1.20970303332984e-09
Early_Braak_Astrocyte	ANK3	antagonist	9.5710853457415e-11
Early_Braak_L6b	ANK3	antagonist	2.1621281906665e-09
Early_Braak_L2_3_IT	ANK3	antagonist	1.10945813897712e-09
Early_Braak_Sst	ANK3	antagonist	2.80397209913781e-09
Early_Braak_L6_IT	ANK3	antagonist	3.18278251700073e-09
Early_Braak_Lamp5_Lhx6	ANK3	antagonist	1.63354138202776e-09
Early_Braak_Microglia-PVM	ANK3	antagonist	8.18992330512987e-10
Early_Braak_L6_CT	ANK3	antagonist	1.00126473765176e-09
Early_Braak_Chandelier	ANK3	antagonist	1.10724506177775e-10
Early_Braak_L6_IT_Car3	ANK3	antagonist	1.25145546309431e-09
Early_Braak_L5_6_NP	ANK3	antagonist	5.49650335384402e-09
Early_Braak_OPC	ANK3	antagonist	4.41548606482291e-10
Early_Braak_L4_IT	ANK3	antagonist	1.65386845922634e-09
Early_Braak_Pax6	ANK3	antagonist	4.47792036728832e-09
Early_Braak_L5_IT	ANK3	antagonist	3.74575178163749e-10
Early_Braak_Oligodendrocyte	ANK3	antagonist	4.03553048682996e-09
Late_Braak_Endothelial	ANK3	antagonist	1.16146714203626e-10
Early_Braak_VLMC	ANK3	antagonist	9.15505532680992e-10
Early_Braak_Vip	ANK3	antagonist	3.09889460093006e-09
Early_Braak_Sncg	ANK3	antagonist	1.19591497908422e-09
Late_Braak_Astrocyte	ANK3	antagonist	6.04862917854509e-10
Late_Braak_Chandelier	ANK3	antagonist	3.96399182113054e-10
Early_Braak_Lamp5	ANK3	antagonist	2.74555782508801e-09
Early_Braak_Pvalb	ANK3	antagonist	6.2367528990522e-11
Late_Braak_L6_IT_Car3	ANK3	antagonist	1.52342533450316e-09
Late_Braak_L2_3_IT	ANK3	antagonist	5.77788562019707e-10
Late_Braak_Lamp5_Lhx6	ANK3	antagonist	2.06723699450553e-09
Late_Braak_L5_IT	ANK3	antagonist	1.11902713858364e-09
Late_Braak_L5_6_NP	ANK3	antagonist	6.2178768680603e-09
Late_Braak_Pax6	ANK3	antagonist	6.51385303313426e-09
Late_Braak_Lamp5	ANK3	antagonist	6.14820405613496e-09
Late_Braak_Sncg	ANK3	antagonist	2.30693772199855e-09
Late_Braak_L6_IT	ANK3	antagonist	5.3837893616417e-10
Late_Braak_L6_CT	ANK3	antagonist	4.20323792042527e-09
