cell_type	target	binding	perb_score
Early_Braak_Chandelier	ANKH	antagonist	2.93218153495355e-10
Early_Braak_Lamp5_Lhx6	ANKH	antagonist	3.16630625471603e-09
Early_Braak_Pvalb	ANKH	antagonist	3.60929544952519e-10
Late_Braak_L5_ET	ANKH	antagonist	2.13129378884111e-10
Late_Braak_Astro	ANKH	antagonist	4.72031404791642e-10
Late_Braak_Endo	ANKH	antagonist	1.31917923363264e-10
Late_Braak_L4_IT	ANKH	antagonist	1.89323704253696e-09
Late_Braak_Sst	ANKH	antagonist	1.34914374054226e-09
Late_Braak_Chandelier	ANKH	antagonist	1.42399563345827e-10
Late_Braak_L6_CT	ANKH	antagonist	5.28948817694139e-10
Late_Braak_L2_3_IT	ANKH	antagonist	1.10774543861792e-09
Late_Braak_L6_IT	ANKH	antagonist	1.4632328355319e-09
Late_Braak_Oligo	ANKH	antagonist	1.23467136063197e-09
Late_Braak_OPC	ANKH	antagonist	1.53583408306407e-09
Late_Braak_L5_IT	ANKH	antagonist	1.67331276060389e-09
Late_Braak_Micro-PVM	ANKH	antagonist	5.65616478391205e-10
Late_Braak_Lamp5	ANKH	antagonist	4.16269101702757e-09
Late_Braak_L6_IT_Car3	ANKH	antagonist	1.24667770788975e-10
Late_Braak_Pvalb	ANKH	antagonist	1.12421083916179e-09
Late_Braak_L6b	ANKH	antagonist	9.41011770586642e-10
Late_Braak_L5_6_NP	ANKH	antagonist	6.22751405468646e-11
Late_Braak_VLMC	ANKH	antagonist	2.10249900650353e-09
Late_Braak_Sncg	ANKH	antagonist	3.60328707239458e-09
Late_Braak_Sst_Chodl	ANKH	antagonist	1.79986893685773e-09
Late_Braak_Pax6	ANKH	antagonist	2.38034696950491e-09
Late_Braak_Vip	ANKH	antagonist	8.39954347484942e-10
Late_Braak_Lamp5_Lhx6	ANKH	antagonist	2.75594792587684e-09
Early_Braak_OPC	ADRA2A	antagonist	1.70017213148465e-11
Early_Braak_Sst_Chodl	ADRA2A	antagonist	3.64110192049888e-10
Early_Braak_Sst	ADRA2A	antagonist	3.05484606879994e-10
Early_Braak_L6b	ADRA2A	antagonist	2.56560743485217e-10
Early_Braak_Oligo	ADRA2A	antagonist	5.88724619859935e-11
Early_Braak_L4_IT	ADRA2A	antagonist	9.25376533848212e-11
Early_Braak_Sncg	ADRA2A	antagonist	6.02885235178021e-11
Early_Braak_L5_6_NP	ADRA2A	antagonist	5.70788246833879e-11
Early_Braak_Micro-PVM	ADRA2A	antagonist	1.2266347333467e-17
Early_Braak_Endo	ADRA2A	antagonist	1.48214838758361e-17
Early_Braak_L2_3_IT	ADRA2A	antagonist	2.280391303995e-11
Early_Braak_L5_IT	ADRA2A	antagonist	3.23258095432464e-11
Early_Braak_VLMC	ADRA2A	antagonist	6.32695523071043e-10
Early_Braak_Vip	ADRA2A	antagonist	4.37577572446901e-11
Early_Braak_L6_IT_Car3	ADRA2A	antagonist	5.29605926614205e-11
Early_Braak_Pax6	ADRA2A	antagonist	4.6603465888098e-11
Early_Braak_L5_ET	ADRA2A	antagonist	4.68368529547714e-10
Early_Braak_L6_CT	ADRA2A	antagonist	1.13371175726497e-10
Early_Braak_Astro	ADRA2A	antagonist	4.82303043838126e-17
Early_Braak_Lamp5	ADRA2A	antagonist	1.66914298532573e-10
Early_Braak_L6_IT	ADRA2A	antagonist	7.34749664839033e-11
Early_Braak_Chandelier	ADRA2A	antagonist	1.99983945594427e-10
Early_Braak_Lamp5_Lhx6	ADRA2A	antagonist	3.08499245095503e-16
Early_Braak_Pvalb	ADRA2A	antagonist	1.08672542866363e-10
Late_Braak_L5_ET	ADRA2A	antagonist	2.51098164333634e-10
Late_Braak_Astro	ADRA2A	antagonist	8.0678545664031e-11
Late_Braak_Endo	ADRA2A	antagonist	1.93263858416721e-11
Late_Braak_L4_IT	ADRA2A	antagonist	9.17987255426667e-11
Late_Braak_Sst	ADRA2A	antagonist	3.06783607930884e-10
Late_Braak_Chandelier	ADRA2A	antagonist	7.28927976617948e-12
Late_Braak_L6_CT	ADRA2A	antagonist	9.31216717660581e-12
Late_Braak_L2_3_IT	ADRA2A	antagonist	6.94418166515079e-11
Late_Braak_L6_IT	ADRA2A	antagonist	8.57237722088825e-11
Late_Braak_Oligo	ADRA2A	antagonist	9.24515331889696e-12
Late_Braak_OPC	ADRA2A	antagonist	1.55229503967146e-11
Late_Braak_L5_IT	ADRA2A	antagonist	1.25808286385872e-10
Late_Braak_Micro-PVM	ADRA2A	antagonist	2.61510910768224e-11
Late_Braak_Lamp5	ADRA2A	antagonist	7.65968910886128e-11
Late_Braak_L6_IT_Car3	ADRA2A	antagonist	3.87305931901811e-10
Late_Braak_Pvalb	ADRA2A	antagonist	3.2929765130607e-11
Late_Braak_L6b	ADRA2A	antagonist	4.1168728912037e-10
Late_Braak_L5_6_NP	ADRA2A	antagonist	1.54546500578417e-12
Late_Braak_VLMC	ADRA2A	antagonist	1.86199195974031e-11
Late_Braak_Sncg	ADRA2A	antagonist	1.60505032487777e-10
Late_Braak_Sst_Chodl	ADRA2A	antagonist	9.47513978338021e-11
Late_Braak_Pax6	ADRA2A	antagonist	1.00216365513287e-10
Late_Braak_Vip	ADRA2A	antagonist	3.93659593771693e-11
Late_Braak_Lamp5_Lhx6	ADRA2A	antagonist	1.63271568793985e-11
Early_Braak_OPC	ABL1	antagonist	1.08422678258676e-09
Early_Braak_Sst_Chodl	ABL1	antagonist	1.89964116357838e-09
Early_Braak_Sst	ABL1	antagonist	1.05065870455946e-09
Early_Braak_L6b	ABL1	antagonist	1.32999561831347e-09
Early_Braak_Oligo	ABL1	antagonist	3.08971142801517e-09
Early_Braak_L4_IT	ABL1	antagonist	4.92762733736687e-10
Early_Braak_Sncg	ABL1	antagonist	1.64421284212644e-09
Early_Braak_L5_6_NP	ABL1	antagonist	1.59382878879443e-10
Early_Braak_Micro-PVM	ABL1	antagonist	2.96176606648032e-09
Early_Braak_Endo	ABL1	antagonist	2.47389511655428e-10
Early_Braak_L2_3_IT	ABL1	antagonist	8.28079315304425e-10
Early_Braak_L5_IT	ABL1	antagonist	1.1479368854482e-09
Early_Braak_VLMC	ABL1	antagonist	2.18354789641837e-09
Early_Braak_Vip	ABL1	antagonist	1.93525797760676e-09
Early_Braak_L6_IT_Car3	ABL1	antagonist	1.64788992733384e-09
Early_Braak_Pax6	ABL1	antagonist	7.71152335669917e-10
Early_Braak_L5_ET	ABL1	antagonist	2.06839400558744e-09
Early_Braak_L6_CT	ABL1	antagonist	8.19836826105341e-10
Early_Braak_Astro	ABL1	antagonist	1.60615469426379e-09
Early_Braak_Lamp5	ABL1	antagonist	1.72216328726457e-09
Early_Braak_L6_IT	ABL1	antagonist	8.67188438008719e-10
Early_Braak_Chandelier	ABL1	antagonist	3.34205959785115e-10
Early_Braak_Lamp5_Lhx6	ABL1	antagonist	3.90259584655329e-10
Early_Braak_Pvalb	ABL1	antagonist	5.43735255655772e-10
Late_Braak_L5_ET	ABL1	antagonist	5.1597047796455e-10
Late_Braak_Astro	ABL1	antagonist	1.06743451583026e-09
Late_Braak_Endo	ABL1	antagonist	1.58936254427035e-10
Late_Braak_L4_IT	ABL1	antagonist	1.64930752254688e-09
Late_Braak_Sst	ABL1	antagonist	1.2829643750883e-09
Late_Braak_Chandelier	ABL1	antagonist	1.03973806917716e-09
Late_Braak_L6_CT	ABL1	antagonist	1.63098321726211e-09
Late_Braak_L2_3_IT	ABL1	antagonist	7.57315097646607e-10
Late_Braak_L6_IT	ABL1	antagonist	1.25786557704853e-09
Late_Braak_Oligo	ABL1	antagonist	1.08437383784139e-09
Late_Braak_OPC	ABL1	antagonist	1.83379857477155e-10
Late_Braak_L5_IT	ABL1	antagonist	8.69451275570729e-10
Late_Braak_Micro-PVM	ABL1	antagonist	4.22194082019218e-10
Late_Braak_Lamp5	ABL1	antagonist	1.85138575211087e-10
Late_Braak_L6_IT_Car3	ABL1	antagonist	1.21503863795356e-09
Late_Braak_Pvalb	ABL1	antagonist	2.86703881950852e-10
Late_Braak_L6b	ABL1	antagonist	1.62288065999204e-09
Late_Braak_L5_6_NP	ABL1	antagonist	7.22447320195992e-10
Late_Braak_VLMC	ABL1	antagonist	1.72112402585338e-09
Late_Braak_Sncg	ABL1	antagonist	1.60572284488342e-09
Late_Braak_Sst_Chodl	ABL1	antagonist	1.87562408681253e-09
Late_Braak_Pax6	ABL1	antagonist	7.55375791667565e-10
Late_Braak_Vip	ABL1	antagonist	2.09979927022919e-10
Late_Braak_Lamp5_Lhx6	ABL1	antagonist	7.78965264400635e-10
Early_Braak_OPC	BDNF	antagonist	6.36982404515669e-11
Early_Braak_Sst_Chodl	BDNF	antagonist	2.82741064130059e-10
Early_Braak_Sst	BDNF	antagonist	2.4532694666934e-18
Early_Braak_L6b	BDNF	antagonist	1.53290902235361e-10
Early_Braak_Oligo	BDNF	antagonist	4.76284543374694e-10
Early_Braak_L4_IT	BDNF	antagonist	9.92534152618692e-11
Early_Braak_Sncg	BDNF	antagonist	1.6426286003222e-10
Early_Braak_L5_6_NP	BDNF	antagonist	1.92298146869053e-10
Early_Braak_Micro-PVM	BDNF	antagonist	5.44878046669642e-10
Early_Braak_Endo	BDNF	antagonist	1.8730661985355e-10
Early_Braak_L2_3_IT	BDNF	antagonist	9.64925295973232e-10
Early_Braak_L5_IT	BDNF	antagonist	7.41728751264389e-11
Early_Braak_VLMC	BDNF	antagonist	5.30406144564685e-11
Early_Braak_Vip	BDNF	antagonist	3.07033229502969e-10
Early_Braak_L6_IT_Car3	BDNF	antagonist	1.72209941217613e-09
Early_Braak_Pax6	BDNF	antagonist	8.45885607366347e-11
Early_Braak_L5_ET	BDNF	antagonist	1.88013356147352e-10
Early_Braak_L6_CT	BDNF	antagonist	1.33652586440076e-10
Early_Braak_Astro	BDNF	antagonist	5.14881098641086e-11
Early_Braak_Lamp5	BDNF	antagonist	4.95333041895796e-11
Early_Braak_L6_IT	BDNF	antagonist	3.84389358456896e-10
Early_Braak_Chandelier	BDNF	antagonist	1.79602905880962e-10
Early_Braak_Lamp5_Lhx6	BDNF	antagonist	4.59650838921545e-12
Early_Braak_Pvalb	BDNF	antagonist	5.36190513327645e-11
Late_Braak_L5_ET	BDNF	antagonist	3.7320625838727e-10
Late_Braak_Astro	BDNF	antagonist	2.46401586297932e-11
Late_Braak_Endo	BDNF	antagonist	1.56840282217979e-10
Late_Braak_L4_IT	BDNF	antagonist	1.36204312257335e-10
Late_Braak_Sst	BDNF	antagonist	1.48871976090442e-10
Late_Braak_Chandelier	BDNF	antagonist	3.48083297451279e-11
Late_Braak_L6_CT	BDNF	antagonist	1.7458258290873e-10
Late_Braak_L2_3_IT	BDNF	antagonist	5.95463019638558e-10
Late_Braak_L6_IT	BDNF	antagonist	3.49467111294901e-10
Late_Braak_Oligo	BDNF	antagonist	5.75025835475616e-10
Late_Braak_OPC	BDNF	antagonist	6.94061104681958e-11
Late_Braak_L5_IT	BDNF	antagonist	2.36696562977477e-10
Late_Braak_Micro-PVM	BDNF	antagonist	3.22706285006521e-11
Late_Braak_Lamp5	BDNF	antagonist	1.88394656847775e-10
Late_Braak_L6_IT_Car3	BDNF	antagonist	9.99971984124471e-10
Late_Braak_Pvalb	BDNF	antagonist	1.04891402371383e-10
Late_Braak_L6b	BDNF	antagonist	7.23490549718561e-11
Late_Braak_L5_6_NP	BDNF	antagonist	2.06952186402394e-10
Late_Braak_VLMC	BDNF	antagonist	1.42998663171224e-11
Late_Braak_Sncg	BDNF	antagonist	6.15761833045953e-11
Late_Braak_Sst_Chodl	BDNF	antagonist	7.7682344934077e-11
Late_Braak_Pax6	BDNF	antagonist	1.00237723625756e-10
Late_Braak_Vip	BDNF	antagonist	1.42791192068211e-10
Late_Braak_Lamp5_Lhx6	BDNF	antagonist	1.1063323415783e-11
Early_Braak_OPC	APP	antagonist	3.31520498230721e-09
Early_Braak_Sst_Chodl	APP	antagonist	2.82566576483061e-09
Early_Braak_Sst	APP	antagonist	8.05559916987314e-11
Early_Braak_L6b	APP	antagonist	1.44564879087768e-09
Early_Braak_Oligo	APP	antagonist	1.06192345595868e-08
Early_Braak_L4_IT	APP	antagonist	1.16971811425881e-09
Early_Braak_Sncg	APP	antagonist	4.30250905037953e-09
Early_Braak_L5_6_NP	APP	antagonist	4.84133757662277e-09
Early_Braak_Micro-PVM	APP	antagonist	6.4546344944013e-10
Early_Braak_Endo	APP	antagonist	6.43485932272391e-10
Early_Braak_L2_3_IT	APP	antagonist	3.66307854907119e-11
Early_Braak_L5_IT	APP	antagonist	3.4081268509772e-09
Early_Braak_VLMC	APP	antagonist	9.13278012544979e-10
Early_Braak_Vip	APP	antagonist	2.64182496623902e-10
Early_Braak_L6_IT_Car3	APP	antagonist	3.18875277627601e-09
Early_Braak_Pax6	APP	antagonist	8.37086278402771e-09
Early_Braak_L5_ET	APP	antagonist	3.88283740425057e-09
