cell_type	target	binding	perb_score
Late_Braak_Pvalb	ALB	agonist	1.52181732990058e-10
Late_Braak_L5_IT	ALB	agonist	1.06792886974252e-10
Late_Braak_L5_6_NP	ALB	agonist	7.58366520221998e-11
Early_Braak_L6_IT_Car3	ADAMTS1	agonist	9.67516921160411e-11
Early_Braak_L4_IT	ADAMTS1	agonist	9.85367657087996e-11
Early_Braak_Astrocyte	ADAMTS1	agonist	7.21933913976168e-11
Early_Braak_Lamp5_Lhx6	ADAMTS1	agonist	9.19296485577989e-11
Early_Braak_Oligodendrocyte	ADAMTS1	agonist	4.72788742795022e-10
Early_Braak_Sncg	ADAMTS1	agonist	6.79897983442531e-11
Early_Braak_L2_3_IT	ADAMTS1	agonist	1.6361065809437e-10
Early_Braak_OPC	ADAMTS1	agonist	1.82854594617323e-10
Late_Braak_Chandelier	ADAMTS1	agonist	9.43197746391687e-11
Early_Braak_L6b	ADAMTS1	agonist	1.9039101655146e-10
Early_Braak_L5_IT	ADAMTS1	agonist	1.11070469035092e-10
Late_Braak_Astrocyte	ADAMTS1	agonist	4.16276334620462e-10
Early_Braak_L6_IT	ADAMTS1	agonist	4.93110446291065e-11
Early_Braak_Lamp5	ADAMTS1	agonist	2.71168648635322e-11
Early_Braak_L6_CT	ADAMTS1	agonist	7.87111429030395e-11
Early_Braak_Microglia-PVM	ADAMTS1	agonist	1.3775111384292e-10
Early_Braak_Vip	ADAMTS1	agonist	1.26613790405287e-10
Early_Braak_Chandelier	ADAMTS1	agonist	1.38835316689879e-11
Early_Braak_L5_6_NP	ADAMTS1	agonist	8.48732142484703e-11
Early_Braak_VLMC	ADAMTS1	agonist	1.8634359940605e-10
Early_Braak_Pax6	ADAMTS1	agonist	1.69191814477059e-10
Late_Braak_Endothelial	ADAMTS1	agonist	3.84523986355582e-10
Early_Braak_Sst	ADAMTS1	agonist	5.79826857254534e-11
Early_Braak_Pvalb	ADAMTS1	agonist	1.47113627319697e-10
Late_Braak_L2_3_IT	ADAMTS1	agonist	3.89063727639509e-11
Late_Braak_Lamp5_Lhx6	ADAMTS1	agonist	8.24411882253584e-11
Late_Braak_L5_ET	ADAMTS1	agonist	7.08390060866821e-11
Late_Braak_Lamp5	ADAMTS1	agonist	1.3225028203303e-10
Late_Braak_L6_IT	ADAMTS1	agonist	1.09634846128737e-10
Late_Braak_L4_IT	ADAMTS1	agonist	1.46627203168753e-10
Late_Braak_L6b	ADAMTS1	agonist	1.45320470780357e-10
Late_Braak_Sst_Chodl	ADAMTS1	agonist	3.33167706396936e-12
Late_Braak_L6_CT	ADAMTS1	agonist	5.49504722169733e-11
Late_Braak_L6_IT_Car3	ADAMTS1	agonist	4.16113383949861e-11
Late_Braak_Oligodendrocyte	ADAMTS1	agonist	5.30742009931791e-10
Late_Braak_Pax6	ADAMTS1	agonist	2.51579770791637e-10
Late_Braak_Vip	ADAMTS1	agonist	1.03051880800775e-10
Late_Braak_OPC	ADAMTS1	agonist	1.89133690710834e-10
Late_Braak_Microglia-PVM	ADAMTS1	agonist	4.97635811345193e-12
Late_Braak_Sncg	ADAMTS1	agonist	2.35050361349852e-10
Late_Braak_VLMC	ADAMTS1	agonist	2.76120780917219e-09
Late_Braak_Sst	ADAMTS1	agonist	2.57401542082579e-10
Late_Braak_Pvalb	ADAMTS1	agonist	7.43417023017469e-11
Late_Braak_L5_IT	ADAMTS1	agonist	1.55183637383111e-10
Late_Braak_L5_6_NP	ADAMTS1	agonist	7.48310076565276e-11
Early_Braak_L6_IT_Car3	ABL1	agonist	4.96201790532682e-12
Early_Braak_L4_IT	ABL1	agonist	7.9183133821993e-10
Early_Braak_Astrocyte	ABL1	agonist	5.2249476593633e-10
Early_Braak_Lamp5_Lhx6	ABL1	agonist	6.71605990478282e-10
Early_Braak_Oligodendrocyte	ABL1	agonist	9.49870105987612e-11
Early_Braak_Sncg	ABL1	agonist	8.2994102087103e-10
Early_Braak_L2_3_IT	ABL1	agonist	1.32594056942832e-09
Early_Braak_OPC	ABL1	agonist	5.19207788833608e-10
Late_Braak_Chandelier	ABL1	agonist	3.86786094955664e-10
Early_Braak_L6b	ABL1	agonist	2.69273746250682e-11
Early_Braak_L5_IT	ABL1	agonist	4.84888557694207e-10
Late_Braak_Astrocyte	ABL1	agonist	7.300269535297e-10
Early_Braak_L6_IT	ABL1	agonist	9.44563642307464e-10
Early_Braak_Lamp5	ABL1	agonist	4.26421068680989e-10
Early_Braak_L6_CT	ABL1	agonist	4.76222124219428e-10
Early_Braak_Microglia-PVM	ABL1	agonist	7.50944001221304e-10
Early_Braak_Vip	ABL1	agonist	4.01952670715922e-11
Early_Braak_Chandelier	ABL1	agonist	2.72293478916026e-11
Early_Braak_L5_6_NP	ABL1	agonist	3.97761500745513e-10
Early_Braak_VLMC	ABL1	agonist	1.83328556476395e-09
Early_Braak_Pax6	ABL1	agonist	2.08829869246618e-10
Late_Braak_Endothelial	ABL1	agonist	4.60526007438765e-10
Early_Braak_Sst	ABL1	agonist	1.25272906800861e-09
Early_Braak_Pvalb	ABL1	agonist	9.2042833128317e-11
Late_Braak_L2_3_IT	ABL1	agonist	4.34748642282075e-10
Late_Braak_Lamp5_Lhx6	ABL1	agonist	3.09501564352297e-10
Late_Braak_L5_ET	ABL1	agonist	7.19882860647425e-10
Late_Braak_Lamp5	ABL1	agonist	5.40560249295677e-10
Late_Braak_L6_IT	ABL1	agonist	2.8646301386609e-10
Late_Braak_L4_IT	ABL1	agonist	7.35813413546927e-10
Late_Braak_L6b	ABL1	agonist	7.2869469911889e-10
Late_Braak_Sst_Chodl	ABL1	agonist	3.23056315026682e-10
Late_Braak_L6_CT	ABL1	agonist	7.34816426634397e-10
Late_Braak_L6_IT_Car3	ABL1	agonist	1.10735805485903e-09
Late_Braak_Oligodendrocyte	ABL1	agonist	1.13123635015373e-09
Late_Braak_Pax6	ABL1	agonist	2.71409916418544e-10
Late_Braak_Vip	ABL1	agonist	1.0834806648227e-09
Late_Braak_OPC	ABL1	agonist	2.71792387397222e-10
Late_Braak_Microglia-PVM	ABL1	agonist	6.73117587340463e-10
Late_Braak_Sncg	ABL1	agonist	9.54827220964684e-10
Late_Braak_VLMC	ABL1	agonist	3.94574972024577e-09
Late_Braak_Sst	ABL1	agonist	6.35023951644478e-10
Late_Braak_Pvalb	ABL1	agonist	6.85333401849094e-10
Late_Braak_L5_IT	ABL1	agonist	6.47262751908749e-10
Late_Braak_L5_6_NP	ABL1	agonist	2.35878301588459e-10
Early_Braak_L6_IT_Car3	ADORA2A	agonist	8.99218310179512e-11
Early_Braak_L4_IT	ADORA2A	agonist	5.30572235787493e-11
Early_Braak_Astrocyte	ADORA2A	agonist	1.27979797083539e-10
Early_Braak_Lamp5_Lhx6	ADORA2A	agonist	7.03935970703705e-11
Early_Braak_Oligodendrocyte	ADORA2A	agonist	9.66113280614325e-11
Early_Braak_Sncg	ADORA2A	agonist	1.34217625973537e-10
Early_Braak_L2_3_IT	ADORA2A	agonist	8.17327606880758e-11
Early_Braak_OPC	ADORA2A	agonist	5.15494582297351e-11
Late_Braak_Chandelier	ADORA2A	agonist	1.81545398522793e-10
Early_Braak_L6b	ADORA2A	agonist	2.04655285732268e-10
Early_Braak_L5_IT	ADORA2A	agonist	1.59853579175305e-10
Late_Braak_Astrocyte	ADORA2A	agonist	1.98454222909741e-10
Early_Braak_L6_IT	ADORA2A	agonist	1.31651210861843e-10
Early_Braak_Lamp5	ADORA2A	agonist	4.3605166179386e-11
Early_Braak_L6_CT	ADORA2A	agonist	1.44695394230705e-11
Early_Braak_Microglia-PVM	ADORA2A	agonist	3.52285128348142e-10
Early_Braak_Vip	ADORA2A	agonist	6.55370043582372e-11
Early_Braak_Chandelier	ADORA2A	agonist	2.02353245180705e-10
Early_Braak_L5_6_NP	ADORA2A	agonist	7.59814152569144e-11
Early_Braak_VLMC	ADORA2A	agonist	1.44791741078185e-09
Early_Braak_Pax6	ADORA2A	agonist	1.54966882078115e-10
Late_Braak_Endothelial	ADORA2A	agonist	3.34265734230049e-10
Early_Braak_Sst	ADORA2A	agonist	1.94632864608082e-10
Early_Braak_Pvalb	ADORA2A	agonist	2.14302481792214e-10
Late_Braak_L2_3_IT	ADORA2A	agonist	1.03272496731149e-10
Late_Braak_Lamp5_Lhx6	ADORA2A	agonist	2.24249191881717e-10
Late_Braak_L5_ET	ADORA2A	agonist	1.2858684344677e-11
Late_Braak_Lamp5	ADORA2A	agonist	5.5531654530615e-11
Late_Braak_L6_IT	ADORA2A	agonist	1.59543767051303e-10
Late_Braak_L4_IT	ADORA2A	agonist	1.36386052531162e-10
Late_Braak_L6b	ADORA2A	agonist	7.99670103060939e-11
Late_Braak_Sst_Chodl	ADORA2A	agonist	3.39940329704707e-10
Late_Braak_L6_CT	ADORA2A	agonist	2.25941000188124e-10
Late_Braak_L6_IT_Car3	ADORA2A	agonist	2.15201345862609e-10
Late_Braak_Oligodendrocyte	ADORA2A	agonist	1.8955831846452e-10
Late_Braak_Pax6	ADORA2A	agonist	1.95508650307812e-10
Late_Braak_Vip	ADORA2A	agonist	3.69880960732909e-11
Late_Braak_OPC	ADORA2A	agonist	8.73965712872403e-11
Late_Braak_Microglia-PVM	ADORA2A	agonist	3.65282102380963e-11
